protein,ensembl_id,approved_name,n_known_drugs,tractability_SM,tractability_AB,top_drug,top_drug_phase,top_indication
FGFR4,ENSG00000160867,fibroblast growth factor receptor 4,17,Approved Drug,none,ORANTINIB,PHASE_3,hepatocellular carcinoma
KLB,ENSG00000134962,klotho beta,3,none,Advanced Clinical,FAZPILODEMAB,PHASE_2,non-alcoholic fatty liver disease
SNX15,ENSG00000110025,sorting nexin 15,0,none,none,"","",""
EFNA1,ENSG00000169242,ephrin A1,0,none,none,"","",""
FGF5,ENSG00000138675,fibroblast growth factor 5,0,none,none,"","",""
UMOD,ENSG00000169344,uromodulin,0,none,none,"","",""
SWAP70,ENSG00000133789,switching B cell complex subunit SWAP70,0,none,none,"","",""
ATRAID,ENSG00000138085,all-trans retinoic acid induced differentiation factor,0,none,none,"","",""
TNFRSF6B,ENSG00000243509,TNF receptor superfamily member 6b,0,none,none,"","",""
ITIH3,ENSG00000162267,inter-alpha-trypsin inhibitor heavy chain 3,0,none,none,"","",""
PM20D1,ENSG00000162877,peptidase M20 domain containing 1,0,none,none,"","",""
TSPAN8,ENSG00000127324,tetraspanin 8,0,none,none,"","",""
IL34,ENSG00000157368,interleukin 34,0,none,none,"","",""
APOE,ENSG00000130203,apolipoprotein E,0,Structure with Ligand,none,"","",""
CGREF1,ENSG00000138028,cell growth regulator with EF-hand domain 1,0,none,none,"","",""
INHBB,ENSG00000163083,inhibin subunit beta B,0,none,none,"","",""
ABO,ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",0,none,none,"","",""
